"station_id","station_name","registros"
101,"Atemajac",0
102,"Centro",720
103,"Las Águilas",733
104,"Las Pintas",0
105,"Loma Dorada",744
106,"Miravalle",718
107,"Oblatos",0
108,"Santa Fe",262
109,"Tlaquepaque",735
110,"Vallarta",724
492,"Country",0
493,"Santa Margarita",0
494,"Santa Anita",0
