"station_id","station_name","registros"
139,"Santa Catarina",666
140,"San Bernabé",453
141,"Obispado",575
142,"San Nicolás",679
143,"ITNL",555
144,"Escobedo",518
145,"García",647
146,"Apodaca",637
147,"Juárez",442
148,"San Pedro",681
424,"Cadereyta",669
425,"UANL",626
426,"Preparatoria ITESM Eugenio Garza Lagüera",595
446,"Pesquería",7
479,"Misión San Juan",4
