"estacion","lat","lon","n","pm25_mean","pm25_sd","temp_mean","hr_mean"
"Santiago Acahualtepec",19.34561,-99.009380833333,189,23.4875885679685,8.75358521625535,17.3528679426054,46.4388010873067
"Gustavo A. Madero",19.482777777778,-99.094722222222,154,22.691684881201,8.35046022736922,19.355952666006,45.1777396051183
"UAM Iztapalapa",19.360833333333,-99.073888888889,207,20.5673249669947,7.37377211183849,19.6750607111312,49.5448938711524
"Merced",19.424722222222,-99.119722222222,235,20.5643331461035,7.69349366646938,20.0098420216077,47.768923473349
"UAM Xochimilco",19.304444444444,-99.103888888889,233,20.4920874820342,7.57831457052337,17.4642399921128,48.1519994327134
"Benito Juárez",19.371666666667,-99.159166666667,236,19.7514343168512,7.0202935755651,19.2437801921213,45.2544315673011
"Pedregal",19.325277777778,-99.204166666667,181,16.2274918487933,6.13515654440144,17.1997585613859,49.6739803654651
