"name","name_1","lon","lat"
"Álvaro Obregón","Distrito Federal",-99.2468197105554,19.3361755683417
"Azcapotzalco","Distrito Federal",-99.1821069383063,19.4853286106988
"Benito Juárez","Distrito Federal",-99.1611346406657,19.3806423460731
"Coyoacán","Distrito Federal",-99.1503763460519,19.3266672062058
"Cuajimalpa de Morelos","Distrito Federal",-99.3107285227553,19.3246343032292
"Cuauhtémoc","Distrito Federal",-99.1490557563125,19.4313734281388
"Gustavo A. Madero","Distrito Federal",-99.115864206768,19.5040652074179
"Iztacalco","Distrito Federal",-99.0943297980616,19.3969118970341
"Iztapalapa","Distrito Federal",-99.0567986611672,19.3491632633327
"La Magdalena Contreras","Distrito Federal",-99.268412889974,19.2689765065062
"Miguel Hidalgo","Distrito Federal",-99.2045669104735,19.4280623718692
"Milpa Alta","Distrito Federal",-99.0510954209536,19.1394565988295
"Tláhuac","Distrito Federal",-99.0028163014103,19.276994771654
"Tlalpan","Distrito Federal",-99.2062207897522,19.1983396650094
"Venustiano Carranza","Distrito Federal",-99.0931057950148,19.4304954545038
"Xochimilco","Distrito Federal",-99.090363604183,19.2451450441256
"Acambay de Ruíz Castañeda","México",-99.8715302596316,19.9729416920453
"Acolman","México",-98.9198662572085,19.6337761283412
"Aculco","México",-99.8333466088885,20.1156764721164
"Almoloya de Alquisiras","México",-99.866795535061,18.8329588652449
"Almoloya de Juárez","México",-99.8294539481415,19.4055778149158
"Almoloya del Río","México",-99.4918729889193,19.1587797942465
"Amanalco","México",-99.9883931998242,19.2509314813714
"Amatepec","México",-100.266801523132,18.7029925185393
"Amecameca","México",-98.7164909764485,19.1249499951642
"Apaxco","México",-99.1478989237342,19.9845089238364
"Atenco","México",-98.9615707804515,19.5456485810611
"Atizapán","México",-99.4999751566194,19.1755455565861
"Atizapán de Zaragoza","México",-99.2740439886206,19.5648072852275
"Atlacomulco","México",-99.8460083814771,19.809957013243
"Atlautla","México",-98.7170646729854,19.0311080864578
"Axapusco","México",-98.7212962762461,19.763057201737
"Ayapango","México",-98.81635586345,19.1242909339143
"Calimaya","México",-99.6432754133488,19.165530453654
"Capulhuac","México",-99.4597383125319,19.2087020462631
"Chalco","México",-98.8316954377758,19.2536014219007
"Chapa de Mota","México",-99.5509391080675,19.8257553506514
"Chapultepec","México",-99.5504536805964,19.2065058376275
"Chiautla","México",-98.8833849409547,19.5730368862626
"Chicoloapan","México",-98.8781075843618,19.4054171658694
"Chiconcuac","México",-98.8966959211643,19.5562790861199
"Chimalhuacán","México",-98.9471670082334,19.4162357325345
"Coacalco de Berriozábal","México",-99.1023955041119,19.6262899752824
"Coatepec Harinas","México",-99.7982569400371,18.9463281213227
"Cocotitlán","México",-98.8588949802993,19.2260295241873
"Coyotepec","México",-99.2222053425533,19.7899844906921
"Cuautitlán","México",-99.1594239924881,19.7082385932978
"Cuautitlán Izcalli","México",-99.2251856363797,19.6545670257982
"Donato Guerra","México",-100.184843553572,19.3164419825942
"Ecatepec de Morelos","México",-99.0432117359573,19.5727837336625
"Ecatzingo","México",-98.7366496037591,18.9680219599022
"El Oro","México",-100.075490532005,19.7988157978863
"Huehuetoca","México",-99.2550310328557,19.8226285901806
"Hueypoxtla","México",-99.0280077529409,19.9524123470462
"Huixquilucan","México",-99.3395276021989,19.3831008234713
"Isidro Fabela","México",-99.4403760818743,19.5542432813964
"Ixtapaluca","México",-98.7790459506046,19.3427969336411
"Ixtapan de la Sal","México",-99.6908409961752,18.8506963946608
"Ixtapan del Oro","México",-100.277849909034,19.2574263839338
"Ixtlahuaca","México",-99.8069629972664,19.5898510213528
"Jaltenco","México",-99.0889302302855,19.7387167303917
"Jilotepec","México",-99.5965692940081,20.0191028817504
"Jilotzingo","México",-99.3904369658594,19.5060472097115
"Jiquipilco","México",-99.6416035227432,19.5860372328474
"Jocotitlán","México",-99.8234783630356,19.7173348780185
"Joquicingo","México",-99.5144815102683,19.0675669920083
"Juchitepec","México",-98.9040824368945,19.0935939337624
"La Paz","México",-98.947698571052,19.3610186169227
"Lerma","México",-99.4748581860969,19.3450740541521
"Luvianos","México",-100.406484517151,18.940817941276
"Malinalco","México",-99.4856424500741,18.8819180405939
"Melchor Ocampo","México",-99.1335471051927,19.709650133969
"Metepec","México",-99.5883660568185,19.2473854569242
"Mexicaltzingo","México",-99.5840223991634,19.2112474700394
"Morelos","México",-99.6417698962178,19.74343802802
"Naucalpan de Juárez","México",-99.2926053942304,19.4712531456005
"Nextlalpan","México",-99.0745243874789,19.7299417643226
"Nezahualcóyotl","México",-99.0226995164195,19.4225786547758
"Nicolás Romero","México",-99.3917279339293,19.6249704994422
"Nopaltepec","México",-98.7170891235639,19.812314331908
"Ocoyoacac","México",-99.4066406590913,19.2594662306813
