"estacion","pm25_mean","color","rango"
"apodaca",22.22,"#EDF8E9","[16.96277,18.64704)"
"obispado",23.41,"#EDF8E9","[18.64704,20.81681)"
"sannicolas",19.41,"#EDF8E9","[20.81681,22.81857)"
"sanpedro",17.88,"#EDF8E9","[22.81857,24.33485]"
