"estacion","pm25_mean","color","rango"
"centro",32.27,"#9ECAE1","[18.63657,23.58702)"
"lasaguilas",21.36,"#9ECAE1","[23.58702,29.04164)"
"miravalle",25.81,"#9ECAE1","[29.04164,35.00043]"
