"Modelo","DIC","pseudo_R2","sigma"
"A",2942.61218910804,0.313343030106176,0.424108142957653
"B",2724.21516906141,0.374983552053269,0.405692117780739
"C1",2723.68614220249,0.375092296822877,0.405712382333688
"D",2841.55520428595,0.340708180992668,0.415810554213503
