"parametro","media"
"alpha",2.82996480696705
"beta_temp",0.102493563517073
"beta_hr",0.0446579102855216
"beta_sen",0.333460926612848
"beta_cos",0.210656039517018
"sigma",0.405712382333688
"sigma.alphaj",0.134178357737379
"DIC",2723.68614220249
"pseudo_R2",0.375092296822877
