"mes","pm25","q2.5","q97.5"
"Diciembre",17.2908418001752,16.0780918807163,18.5671160507403
"Noviembre",16.1069669087115,14.8225876992461,17.4562827214399
"Octubre",13.4094452009672,12.4234531938248,14.4465033218397
