"name","name_1","lon","lat","pm25_mean","pm25_sd","pm25_q2.5","pm25_q97.5"
"Álvaro Obregón","Distrito Federal",-99.2468197105554,19.3361755683417,17.2996253657842,1.02088335683954,16.6164055934933,18.0357222620277
"Azcapotzalco","Distrito Federal",-99.1821069383063,19.4853286106988,18.4034719523952,1.02013108112918,17.7146047436118,19.1310736908934
"Benito Juárez","Distrito Federal",-99.1611346406657,19.3806423460731,17.9185148392304,1.02353146698613,17.1181272173699,18.7395513540256
"Coyoacán","Distrito Federal",-99.1503763460519,19.3266672062058,18.0952097143106,1.01470337174323,17.5889385282711,18.6466065917479
"Cuajimalpa de Morelos","Distrito Federal",-99.3107285227553,19.3246343032292,17.6224634422011,1.02665460970675,16.7399178169738,18.5701678938681
"Cuauhtémoc","Distrito Federal",-99.1490557563125,19.4313734281388,17.0374812124753,1.03312364966431,15.9664849174014,18.1146779683908
"Gustavo A. Madero","Distrito Federal",-99.115864206768,19.5040652074179,17.6061262708968,1.02209634807858,16.8484848546065,18.3355852703753
"Iztacalco","Distrito Federal",-99.0943297980616,19.3969118970341,17.3876701889641,1.01717613069335,16.8099679710401,17.9811608659184
"Iztapalapa","Distrito Federal",-99.0567986611672,19.3491632633327,18.3269815942232,1.01875882095536,17.7042431898822,18.9968693929535
"La Magdalena Contreras","Distrito Federal",-99.268412889974,19.2689765065062,17.9229820060793,1.02448841956299,17.1119395876408,18.7983772522718
"Miguel Hidalgo","Distrito Federal",-99.2045669104735,19.4280623718692,17.4845758131787,1.0245327616376,16.6922478773199,18.3620648874328
"Milpa Alta","Distrito Federal",-99.0510954209536,19.1394565988295,18.0237086846897,1.0324041723775,16.9589167467257,19.2032453098434
"Tláhuac","Distrito Federal",-99.0028163014103,19.276994771654,19.5374261978155,1.02222301913792,18.7340176645177,20.3884922607822
"Tlalpan","Distrito Federal",-99.2062207897522,19.1983396650094,18.2017160066098,1.02659426881062,17.2965021882637,19.1873853165705
"Venustiano Carranza","Distrito Federal",-99.0931057950148,19.4304954545038,17.4003376732371,1.01887528178792,16.7717353159971,18.0464760322818
"Xochimilco","Distrito Federal",-99.090363604183,19.2451450441256,18.6618840847124,1.02086436563567,17.9400385563134,19.4387247121644
"Acambay de Ruíz Castañeda","México",-99.8715302596316,19.9729416920453,17.6328597807171,1.0388782119917,16.394020381239,19.0110884590276
"Acolman","México",-98.9198662572085,19.6337761283412,17.3971370981116,1.03127938772838,16.3961184842438,18.4805024126193
"Aculco","México",-99.8333466088885,20.1156764721164,17.6328043050781,1.03887917781716,16.3939360066513,19.0110873840304
"Almoloya de Alquisiras","México",-99.866795535061,18.8329588652449,17.6328668430945,1.03887838698098,16.3940495281725,19.0111707811521
"Almoloya de Juárez","México",-99.8294539481415,19.4055778149158,17.633435430108,1.03885213102558,16.3955617224141,19.0105074545585
"Almoloya del Río","México",-99.4918729889193,19.1587797942465,17.6497083133066,1.0379117507863,16.4314651513247,18.9940421863943
"Amanalco","México",-99.9883931998242,19.2509314813714,17.632882670476,1.03887702470312,16.3941130645267,19.0111131772491
"Amatepec","México",-100.266801523132,18.7029925185393,17.6328189132214,1.03888055931777,16.393912500515,19.0111957940025
"Amecameca","México",-98.7164909764485,19.1249499951642,17.67722019725,1.03840970640648,16.4513503073712,19.0368426046402
"Apaxco","México",-99.1478989237342,19.9845089238364,17.3444822689831,1.03637181351204,16.1735330387742,18.6293458061389
"Atenco","México",-98.9615707804515,19.5456485810611,17.5850379499242,1.02750671617889,16.6725160189201,18.5898273019076
"Atizapán","México",-99.4999751566194,19.1755455565861,17.6485443453875,1.03791299395908,16.4303934656025,18.9925158110194
"Atizapán de Zaragoza","México",-99.2740439886206,19.5648072852275,18.4979225772047,1.02706017865464,17.5341083566035,19.4856276398291
"Atlacomulco","México",-99.8460083814771,19.809957013243,17.6330720844351,1.03887283668432,16.3943955834405,19.0109927749279
"Atlautla","México",-98.7170646729854,19.0311080864578,17.6539038184278,1.03865231519204,16.4217775132121,19.0235836687076
"Axapusco","México",-98.7212962762461,19.763057201737,17.4816709097304,1.03731909935387,16.2850516398748,18.8061293006421
"Ayapango","México",-98.81635586345,19.1242909339143,17.747534144164,1.0376678155228,16.53616103765,19.0969646425781
