"estacion","alcaldia","n","pm25_mean","pm25_sd","pm25_med","pm25_min","pm25_max","temp_mean","hr_mean"
"Santiago Acahualtepec","Iztapalapa",189,23.4875885679685,8.75358521625535,24,5.625,52.6,17.3528679426054,46.4388010873067
"Gustavo A. Madero","Gustavo A. Madero",154,22.691684881201,8.35046022736922,22.5543478260869,3.33333333333333,80.5416666666667,19.355952666006,45.1777396051183
"UAM Iztapalapa","Iztapalapa",207,20.5673249669947,7.37377211183849,20.4761904761905,2,65.375,19.6750607111312,49.5448938711524
"Merced","Venustiano Carranza",235,20.5643331461035,7.69349366646938,20.3,3.73684210526316,60.4782608695652,20.0098420216078,47.768923473349
"UAM Xochimilco","Coyoacán",233,20.4920874820342,7.57831457052337,20.6086956521739,6.38461538461539,61.1052631578947,17.4642399921128,48.1519994327134
"Benito Juárez","Benito Juárez",236,19.7514343168512,7.0202935755651,19.375,5.40909090909091,49.9583333333333,19.2437801921213,45.2544315673011
"Pedregal","Coyoacán",181,16.2274918487933,6.13515654440143,15.625,4,39,17.1997585613859,49.6739803654651
