"mes","pm25","q2.5","q97.5"
"Diciembre",17.2945034969928,16.0840187199089,18.5700581344126
"Noviembre",16.1028632483318,14.8199667191211,17.4696126239836
"Octubre",13.4080377827184,12.4221763373221,14.4479589139352
