"name","name_1","lon","lat","pm25_mean","pm25_sd","pm25_q2.5","pm25_q97.5"
"Álvaro Obregón","Distrito Federal",-99.2468197105554,19.3361755683417,17.3058169637113,1.02097694836451,16.5974192720348,18.0126740526245
"Azcapotzalco","Distrito Federal",-99.1821069383063,19.4853286106988,18.4045462992185,1.01953184325815,17.7440607649394,19.1213221579533
"Benito Juárez","Distrito Federal",-99.1611346406657,19.3806423460731,17.9172125147747,1.02381397727938,17.1370805367657,18.7566153642697
"Coyoacán","Distrito Federal",-99.1503763460519,19.3266672062058,18.1021746175701,1.01433599340791,17.6092099583212,18.6298171253599
"Cuajimalpa de Morelos","Distrito Federal",-99.3107285227553,19.3246343032292,17.6263581038586,1.02610633116859,16.7242246054722,18.5361776110274
"Cuauhtémoc","Distrito Federal",-99.1490557563125,19.4313734281388,17.0281668400329,1.03218838805205,16.0049749163162,18.1143549605103
"Gustavo A. Madero","Distrito Federal",-99.115864206768,19.5040652074179,17.6089063307163,1.02246235463034,16.8317439378173,18.3933861918679
"Iztacalco","Distrito Federal",-99.0943297980616,19.3969118970341,17.3961607059122,1.01729862388821,16.8129812960127,17.9843246015294
"Iztapalapa","Distrito Federal",-99.0567986611672,19.3491632633327,18.3420454842551,1.0188331437531,17.706014828629,19.0389003558123
"La Magdalena Contreras","Distrito Federal",-99.268412889974,19.2689765065062,17.9285686251104,1.02443533582652,17.0977462826587,18.8103733128011
"Miguel Hidalgo","Distrito Federal",-99.2045669104735,19.4280623718692,17.4794730736964,1.02371954071462,16.680238317813,18.3205630219851
"Milpa Alta","Distrito Federal",-99.0510954209536,19.1394565988295,18.0265217914267,1.03169122685366,16.912395550483,19.202897451322
"Tláhuac","Distrito Federal",-99.0028163014103,19.276994771654,19.546087308573,1.02213548512756,18.7339368641547,20.4198276294442
"Tlalpan","Distrito Federal",-99.2062207897522,19.1983396650094,18.2059331340524,1.02646181594617,17.278997987916,19.2064260762462
"Venustiano Carranza","Distrito Federal",-99.0931057950148,19.4304954545038,17.4072732119651,1.01909360507407,16.7541183287604,18.0490127391394
"Xochimilco","Distrito Federal",-99.090363604183,19.2451450441256,18.6654722070362,1.02070195428982,17.9437291204415,19.451703060404
"Acambay de Ruíz Castañeda","México",-99.8715302596316,19.9729416920453,17.6346920553854,1.03787865039415,16.3522953656935,19.0102242306636
"Acolman","México",-98.9198662572085,19.6337761283412,17.3972923057344,1.03039464920493,16.3492312663769,18.4878616555414
"Aculco","México",-99.8333466088885,20.1156764721164,17.6346363929751,1.03787963002068,16.3522003020523,19.0101942536384
"Almoloya de Alquisiras","México",-99.866795535061,18.8329588652449,17.6346994578149,1.03787893609763,16.3522582986014,19.0102824446238
"Almoloya de Juárez","México",-99.8294539481415,19.4055778149158,17.6352713955763,1.03785286503617,16.3537608944862,19.0102485002629
"Almoloya del Río","México",-99.4918729889193,19.1587797942465,17.6517003449938,1.03695851591459,16.3904550037463,18.9922806842372
"Amanalco","México",-99.9883931998242,19.2509314813714,17.6347154412909,1.03787754605994,16.3523397430025,19.010258993752
"Amatepec","México",-100.266801523132,18.7029925185393,17.6346511789434,1.03788099825635,16.3521705562335,19.010260860869
"Amecameca","México",-98.7164909764485,19.1249499951642,17.6791377047941,1.03742433290012,16.4124847957431,19.0359541719544
"Apaxco","México",-99.1478989237342,19.9845089238364,17.344809749175,1.0354880705709,16.1494924544507,18.596608894476
"Atenco","México",-98.9615707804515,19.5456485810611,17.5858947478864,1.02675062451559,16.6943463901021,18.499319985141
"Atizapán","México",-99.4999751566194,19.1755455565861,17.6505350274887,1.03695758495562,16.3894246123099,18.990731825432
"Atizapán de Zaragoza","México",-99.2740439886206,19.5648072852275,18.5023002221668,1.02580195554851,17.6331261835035,19.5023876683873
"Atlacomulco","México",-99.8460083814771,19.809957013243,17.6349050020173,1.03787323177023,16.3527178542253,19.0102853678103
"Atlautla","México",-98.7170646729854,19.0311080864578,17.6557827881903,1.03766010724639,16.379095636272,19.0229064578367
