"estacion","alphaj_media","alphaj_adj","alphaj_sd"
"Ajusco Medio",0.188673093231686,0.0728757280743814,8.18830264969958
"Benito Juárez",0.164073375064761,0.0482760099074565,8.18799142799496
"Biblioteca",-0.159166278654523,-0.274963643811828,8.18820568788325
"FES Aragón",-0.0273203106950101,-0.143117675852315,8.18845530112316
"Gustavo A. Madero",0.0761944418814849,-0.0396029232758201,8.18830943222641
"Hospital General de México",0.0134578493815267,-0.102339515775778,8.18852977704348
"Merced",0.147637745371758,0.0318403802144528,8.18906734085422
"Nezahualcóyotl",0.134637677665324,0.0188403125080192,8.18810610899918
"Pedregal",0.0565751006316072,-0.0592222645256978,8.18833780848026
"San Agustín",0.132024911883747,0.0162275467264418,8.18878309738953
"Santiago Acahualtepec",0.373819759872124,0.258022394714819,8.18828043115002
"Tlalnepantla",0.2585172980556,0.142719932898295,8.18846880060836
"UAM Iztapalapa",0.071120190840544,-0.044677174316761,8.18848147741075
"UAM Xochimilco",0.19091825767164,0.075120892514335,8.18798477811703
